,assay_chembl_id,canonical_smiles,molecule_chembl_id,parent_molecule_chembl_id,standard_value,uo_units
0,CHEMBL4627009,COc1c(O)cccc1C(=O)C1CCN(CCc2ccc(F)cc2)CC1,CHEMBL489624,CHEMBL489624,11.0,UO_0000065
1,CHEMBL4627009,COc1cccc(C(=O)C2CCN(CCc3ccc(F)cc3)CC2)c1OC,CHEMBL4638006,CHEMBL4638006,0.81,UO_0000065
2,CHEMBL4627009,COCCOc1cccc(C(=O)C2CCN(CCc3ccc(F)cc3)CC2)c1OC,CHEMBL4636980,CHEMBL4636980,9.3,UO_0000065
3,CHEMBL4627009,COc1ccccc1C1CCN(c2ccn3c(CC4CC4)nnc3c2Cl)CC1,CHEMBL2206440,CHEMBL2206440,1300.0,UO_0000065
4,CHEMBL4627009,COc1cccc(C2CCN(c3ccn4c(CC5CC5)nnc4c3Cl)CC2)c1,CHEMBL4646835,CHEMBL4646835,4100.0,UO_0000065
5,CHEMBL4627009,COc1ccc(C2CCN(c3ccn4c(CC5CC5)nnc4c3Cl)CC2)cc1,CHEMBL4632373,CHEMBL4632373,50000.0,UO_0000065
6,CHEMBL4627009,COCCOc1ccccc1C1CCN(c2ccn3c(CC4CC4)nnc3c2Cl)CC1,CHEMBL4643961,CHEMBL4643961,3900.0,UO_0000065
7,CHEMBL4627009,COCCOc1cccc(C2CCN(c3ccn4c(CC5CC5)nnc4c3Cl)CC2)c1,CHEMBL4635729,CHEMBL4635729,6000.0,UO_0000065
8,CHEMBL4627009,COCCOc1ccc(C2CCN(c3ccn4c(CC5CC5)nnc4c3Cl)CC2)cc1,CHEMBL4645305,CHEMBL4645305,50000.0,UO_0000065
9,CHEMBL4627009,Oc1ccc(C2CCN(c3ccn4c(CC5CC5)nnc4c3Cl)CC2)cc1,CHEMBL4646555,CHEMBL4646555,720.0,UO_0000065
10,CHEMBL4627009,COc1c(OCCOCCOCCOc2ccc(C3CCN(c4ccn5c(CC6CC6)nnc5c4Cl)CC3)cc2)cccc1C(=O)C1CCN(CCc2ccc(F)cc2)CC1,CHEMBL4642761,CHEMBL4642761,1200.0,UO_0000065
11,CHEMBL4627009,COc1c(OCCOCCOCCOCCOc2ccc(C3CCN(c4ccn5c(CC6CC6)nnc5c4Cl)CC3)cc2)cccc1C(=O)C1CCN(CCc2ccc(F)cc2)CC1,CHEMBL4639821,CHEMBL4639821,280.0,UO_0000065
12,CHEMBL4627009,COc1c(OCCOCCOCCOCCOCCOc2ccc(C3CCN(c4ccn5c(CC6CC6)nnc5c4Cl)CC3)cc2)cccc1C(=O)C1CCN(CCc2ccc(F)cc2)CC1,CHEMBL4635373,CHEMBL4635373,450.0,UO_0000065
