action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,920241,[],CHEMBL617350,Compound was evaluated for its inverse agonist activity against 5-hydroxytryptamine 2A receptor,F,,,BAO_0000190,BAO_0000019,assay format,O=C1NCN(c2ccccc2)C12CCN(CCCOc1ccc(F)cc1)CC2,,,CHEMBL1132796,Bioorg Med Chem Lett,2000,,CHEMBL79834,SPIRAMIDE,CHEMBL79834,9.50,0,http://www.openphacts.org/units/Nanomolar,144702,=,1,1,=,,IC50,nM,,0.3162,CHEMBL224,Homo sapiens,Serotonin 2a (5-HT2a) receptor,9606,,,Log IC50,,UO_0000065,,-9.5
,,930749,[],CHEMBL617350,Compound was evaluated for its inverse agonist activity against 5-hydroxytryptamine 2A receptor,F,,,BAO_0000190,BAO_0000019,assay format,CC(C)NC(=O)N(C1CCCCCCC1)C1CCN(CCCOc2ccc(F)cc2)CC1,,,CHEMBL1132796,Bioorg Med Chem Lett,2000,,CHEMBL80093,,CHEMBL80093,7.10,0,http://www.openphacts.org/units/Nanomolar,144704,=,1,1,=,,IC50,nM,,79.43,CHEMBL224,Homo sapiens,Serotonin 2a (5-HT2a) receptor,9606,,,Log IC50,,UO_0000065,,-7.1
,,939254,[],CHEMBL617350,Compound was evaluated for its inverse agonist activity against 5-hydroxytryptamine 2A receptor,F,,,BAO_0000190,BAO_0000019,assay format,CCC(=O)N(C1CCCCCCC1)C1CCN(CCCOc2ccc(F)cc2)CC1,,,CHEMBL1132796,Bioorg Med Chem Lett,2000,,CHEMBL81377,,CHEMBL81377,7.90,0,http://www.openphacts.org/units/Nanomolar,144703,=,1,1,=,,IC50,nM,,12.59,CHEMBL224,Homo sapiens,Serotonin 2a (5-HT2a) receptor,9606,,,Log IC50,,UO_0000065,,-7.9
,,1726715,[],CHEMBL861451,Antagonist activity against human 5HT2A transfected in CHO cells by aurora beta lactamase reporter gene assay,F,,,BAO_0000190,BAO_0000219,cell-based format,O=S(=O)(c1cccc(F)c1)N1CCC(CCc2ccc(F)cc2F)CC1,,,CHEMBL1148517,Bioorg Med Chem Lett,2006,,CHEMBL383530,,CHEMBL383530,6.50,0,http://www.openphacts.org/units/Nanomolar,489431,=,1,1,=,,IC50,nM,,319.0,CHEMBL224,Homo sapiens,Serotonin 2a (5-HT2a) receptor,9606,,,IC50,nM,UO_0000065,,319.0
,,2520744,[],CHEMBL980680,Antagonist activity at human 5HT2A receptor expressed in EC80 serotonin-stimulated CHOK1 cells by calcium mobilization assay,F,,,BAO_0000190,BAO_0000219,cell-based format,O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1,,,CHEMBL1138595,Bioorg Med Chem Lett,2009,,CHEMBL51,KETANSERIN,CHEMBL51,7.50,0,http://www.openphacts.org/units/Nanomolar,758500,=,1,1,=,,IC50,nM,,32.0,CHEMBL224,Homo sapiens,Serotonin 2a (5-HT2a) receptor,9606,,,IC50,nM,UO_0000065,,32.0
,,2520747,[],CHEMBL980680,Antagonist activity at human 5HT2A receptor expressed in EC80 serotonin-stimulated CHOK1 cells by calcium mobilization assay,F,,,BAO_0000190,BAO_0000219,cell-based format,COc1cc2c3c(c1OCc1ccccc1)-c1cc4c(cc1CC3N(C)CC2)OCO4,,,CHEMBL1138595,Bioorg Med Chem Lett,2009,,CHEMBL469149,,CHEMBL469149,5.34,0,http://www.openphacts.org/units/Nanomolar,758426,=,1,1,=,,IC50,nM,,4600.0,CHEMBL224,Homo sapiens,Serotonin 2a (5-HT2a) receptor,9606,,,IC50,nM,UO_0000065,,4600.0
,,3005949,[],CHEMBL1041066,Agonist activity at 5HT2A receptor expressed in HEK cells assessed as inhibition of serotonin-induced inositol phosphate accumulation,F,,,BAO_0000190,BAO_0000219,cell-based format,Cn1ncc(Br)c1-c1cc(NC(=O)Nc2ccc(Cl)cc2)ccc1OCCN1CCCC1,,,CHEMBL1155963,Bioorg Med Chem Lett,2009,,CHEMBL569475,,CHEMBL569475,8.72,0,http://www.openphacts.org/units/Nanomolar,859946,=,1,1,=,,IC50,nM,,1.9,CHEMBL224,Homo sapiens,Serotonin 2a (5-HT2a) receptor,9606,,,IC50,nM,UO_0000065,,1.9
,,3065926,[],CHEMBL1039801,Antagonist activity at human 5HT2A receptor expressed in CHO cells assessed as inhibition of (R)-(-)-DOI hydrochloride-induced intracellular calcium mobilization by FLIPR assay,F,,,BAO_0000190,BAO_0000219,cell-based format,CNCCc1cccc2[nH]cc(S(=O)(=O)c3ccccc3)c12,,,CHEMBL1152674,Bioorg Med Chem,2009,,CHEMBL593527,,CHEMBL593527,5.96,0,http://www.openphacts.org/units/Nanomolar,873613,=,1,1,=,,IC50,nM,,1105.0,CHEMBL224,Homo sapiens,Serotonin 2a (5-HT2a) receptor,9606,,,IC50,nM,UO_0000065,,1105.0
,,3065930,[],CHEMBL1039801,Antagonist activity at human 5HT2A receptor expressed in CHO cells assessed as inhibition of (R)-(-)-DOI hydrochloride-induced intracellular calcium mobilization by FLIPR assay,F,,,BAO_0000190,BAO_0000219,cell-based format,CCNCCc1cccc2[nH]cc(S(=O)(=O)c3ccccc3)c12,,,CHEMBL1152674,Bioorg Med Chem,2009,,CHEMBL595133,,CHEMBL595133,5.99,0,http://www.openphacts.org/units/Nanomolar,873630,=,1,1,=,,IC50,nM,,1025.0,CHEMBL224,Homo sapiens,Serotonin 2a (5-HT2a) receptor,9606,,,IC50,nM,UO_0000065,,1025.0
,,3065934,[],CHEMBL1039801,Antagonist activity at human 5HT2A receptor expressed in CHO cells assessed as inhibition of (R)-(-)-DOI hydrochloride-induced intracellular calcium mobilization by FLIPR assay,F,,,BAO_0000190,BAO_0000219,cell-based format,CCCNCCc1cccc2[nH]cc(S(=O)(=O)c3ccccc3)c12,,,CHEMBL1152674,Bioorg Med Chem,2009,,CHEMBL606150,,CHEMBL606150,5.97,0,http://www.openphacts.org/units/Nanomolar,873631,=,1,1,=,,IC50,nM,,1078.0,CHEMBL224,Homo sapiens,Serotonin 2a (5-HT2a) receptor,9606,,,IC50,nM,UO_0000065,,1078.0
